epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,2925.47,0.75287,1.10077,0.69661,1.12049,0.90461,1,0.98429,0.77508,0.90461,1,0.98429,0.78985,0.81592,1.29169,0.66426,1.48603,0.00088625,0.00088625,0.00088625
47,2944.28,0.73984,1.07435,0.69369,1.10322,0.91581,1,0.97857,0.79574,0.91581,1,0.97857,0.78685,0.78552,1.19714,0.55287,1.49023,0.0008615,0.0008615,0.0008615
48,2960.67,0.73379,1.0855,0.6819,1.14619,0.98453,1,0.995,0.81777,0.98453,1,0.995,0.78111,0.77247,1.1952,0.53254,1.47893,0.00083675,0.00083675,0.00083675
49,2983.45,0.61857,0.99519,0.61891,1.07108,0.92854,0.99955,0.99,0.74955,0.99003,1,0.995,0.78267,0.93299,1.15639,0.57564,1.56615,0.000812,0.000812,0.000812
50,3001.15,0.73932,1.20783,0.72831,1.11665,0.91974,0.92308,0.9705,0.6894,0.99134,1,0.995,0.76463,1.08277,1.14351,0.58248,1.65648,0.00078725,0.00078725,0.00078725
51,3017.77,0.62893,0.93771,0.59482,1.05755,1,0.90707,0.98188,0.72411,0.99391,1,0.995,0.75083,0.94871,1.13251,0.57831,1.5311,0.0007625,0.0007625,0.0007625
52,3035.55,0.63959,0.90989,0.63736,1.06827,0.98305,1,0.995,0.74839,0.98305,1,0.995,0.73627,0.89773,1.17257,0.56169,1.46138,0.00073775,0.00073775,0.00073775
53,3051.71,0.62157,0.946,0.60413,1.05491,0.97764,1,0.995,0.75216,0.97764,1,0.995,0.71346,0.89191,1.14096,0.63235,1.5155,0.000713,0.000713,0.000713
54,3070.11,0.66077,0.92055,0.62052,1.08569,0.97992,1,0.995,0.78006,0.97992,1,0.995,0.75615,0.8347,1.13286,0.58007,1.45702,0.00068825,0.00068825,0.00068825
55,3086.79,0.60981,0.96702,0.60004,1.02784,0.99316,1,0.995,0.85525,0.99316,1,0.995,0.80042,0.66543,1.09892,0.46234,1.29153,0.0006635,0.0006635,0.0006635
56,3104.3,0.66047,0.99814,0.61353,1.10988,1,0.99734,0.995,0.83809,1,0.99734,0.995,0.80362,0.65189,1.08366,0.50529,1.25107,0.00063875,0.00063875,0.00063875
57,3121.93,0.65526,0.96058,0.58974,1.09895,0.99122,1,0.995,0.73455,0.99122,1,0.995,0.77187,0.85908,1.20659,0.6073,1.38169,0.000614,0.000614,0.000614
58,3140.65,0.64433,1.14936,0.59092,1.07175,0.98996,1,0.995,0.68033,0.98996,1,0.995,0.76805,0.92451,1.27489,0.63346,1.42068,0.00058925,0.00058925,0.00058925
59,3155.58,0.64025,0.86201,0.58113,1.05217,0.98992,1,0.995,0.80521,0.98992,1,0.995,0.79601,0.76676,1.14648,0.53605,1.28989,0.0005645,0.0005645,0.0005645
60,3169.88,0.62576,1.07316,0.56889,1.07446,0.98938,1,0.995,0.79851,0.98938,1,0.995,0.78735,0.75121,1.22064,0.50074,1.27047,0.00053975,0.00053975,0.00053975
61,3182.69,0.71471,1.27431,0.59133,1.10594,0.98974,1,0.995,0.80505,0.98974,1,0.995,0.77656,0.79379,1.30426,0.51465,1.27748,0.000515,0.000515,0.000515
62,3195.03,0.6565,0.89605,0.57812,1.0798,0.99034,1,0.995,0.79356,0.99034,1,0.995,0.80391,0.79484,1.23296,0.50845,1.31091,0.00049025,0.00049025,0.00049025
63,3207.74,0.65141,1.03126,0.62609,1.07184,0.99208,1,0.995,0.79035,0.99208,1,0.995,0.77731,0.7963,1.34552,0.46923,1.37387,0.0004655,0.0004655,0.0004655
64,3223.24,0.73861,1.21225,0.62529,1.14389,0.99308,1,0.995,0.76063,0.99308,1,0.995,0.745,0.83791,1.5219,0.48123,1.42321,0.00044075,0.00044075,0.00044075
65,3239.17,0.7195,1.16116,0.61835,1.09396,0.99433,1,0.995,0.73113,0.99433,1,0.995,0.70596,0.87814,1.5994,0.49592,1.45772,0.000416,0.000416,0.000416
